businessID,businessName,contactType,contactDate,notes,createdAt, 
1,Cook Ltd,Email,16/03/2024,Chair point organization truth start hit attention.,2023-09-11T11:54:41,
2,Vang PLC,Email,11/01/2022,Threat six manager.,2024-02-28T03:25:18,
3,Martinez PLC,In-person,30/03/2023,Investment hundred stuff sense blue traditional.,2024-04-15T10:33:43,
4,Whitney-Goodman,Email,05/07/2023,Thing decision forget travel media throughout.,2024-04-24T05:53:35,
5,"Ray, Ford and Sanchez",Email,31/10/2021,Relationship within range.,2024-02-02T11:41:40,
6,Davis LLC,Email,11/06/2024,Might within gas democratic woman economy.,2023-09-22T19:19:10,
7,"Mccarty, Hall and Hudson",In-person,16/01/2020,Sign no sign travel.,2021-12-08T20:39:33,
8,Gonzalez-Barnes,Phone,09/04/2020,Strategy choice thank them life.,2022-08-19T01:17:40,
9,Hill Inc,Email,14/11/2023,Season rich turn sign economic artist hot.,2020-01-25T14:25:32,
10,Vance-Russell,Email,21/03/2020,Deal success international short human toward production.,2021-03-28T10:15:47,
11,Jones Group,Email,08/04/2023,Soldier computer start general.,2024-05-12T21:03:15,
12,Gross-Walton,Phone,30/04/2024,Push government serious role bit turn dinner.,2020-11-07T08:45:00,
13,York Inc,Email,16/01/2024,Generation when factor what unit.,2021-11-21T23:26:59,
14,Johnson-Curtis,Email,05/10/2021,Change according record thus.,2024-01-04T12:04:30,
15,Morgan-Wagner,Phone,03/08/2020,Hundred physical various network.,2024-04-29T04:44:10,
16,"Cohen, Graham and Rasmussen",In-person,04/12/2021,Certain world instead positive stop itself.,2020-06-25T03:14:07,
17,Hernandez LLC,In-person,28/06/2023,Crime relate perhaps pattern our.,2023-06-25T23:33:00,
18,Robles PLC,Email,03/02/2024,Maintain expert large or national.,2022-09-01T01:45:10,
19,Acevedo-Ramirez,In-person,14/10/2020,Voice change key.,2020-05-31T10:12:21,
20,Perry-Zhang,In-person,13/09/2020,Live write environment determine.,2021-10-12T18:55:51,
